kota,kecamatan,kelurahan,luas_daerah,kepadatan,jumlah_penduduk,panjang_jalan,tahun,macet
JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,1.89,8314.37,1056896.0,692.0,2020,0
JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,0.51,64608.61,1056896.0,692.0,2020,1
JAKARTA PUSAT,SAWAH BESAR,KARTINI,0.57,49492.96,1056896.0,692.0,2020,1
JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,1.9,10627.41,1056896.0,692.0,2020,1
JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,1.29,27071.81,1056896.0,692.0,2020,1
JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,0.53,48241.67,1056896.0,692.0,2020,1
JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,1.16,29790.96,1056896.0,692.0,2020,1
JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,0.53,52366.7,1056896.0,692.0,2020,1
JAKARTA PUSAT,KEMAYORAN,SERDANG,0.82,44129.88,1056896.0,692.0,2020,1
JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,1.53,15573.48,1056896.0,692.0,2020,1
JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,0.99,40022.15,1056896.0,692.0,2020,1
JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,1.15,23989.56,1056896.0,692.0,2020,1
JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,0.54,66123.09,1056896.0,692.0,2020,1
JAKARTA PUSAT,SENEN,SENEN,0.81,10733.0,1056896.0,692.0,2020,1
JAKARTA PUSAT,SENEN,KENARI,0.92,11898.36,1056896.0,692.0,2020,1
JAKARTA PUSAT,SENEN,PASEBAN,0.71,39392.24,1056896.0,692.0,2020,1
JAKARTA PUSAT,SENEN,KRAMAT,0.71,48625.65,1056896.0,692.0,2020,1
JAKARTA PUSAT,SENEN,KWITANG,0.45,41673.38,1056896.0,692.0,2020,1
JAKARTA PUSAT,SENEN,BUNGUR,0.63,35774.27,1056896.0,692.0,2020,1
JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,2.23,12744.83,1056896.0,692.0,2020,1
JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,1.22,33858.21,1056896.0,692.0,2020,1
JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,1.25,20451.3,1056896.0,692.0,2020,1
JAKARTA PUSAT,MENTENG,MENTENG,2.44,12478.27,1056896.0,692.0,2020,1
JAKARTA PUSAT,MENTENG,PEGANGSAAN,0.98,28333.84,1056896.0,692.0,2020,1
JAKARTA PUSAT,MENTENG,CIKINI,0.82,12059.93,1056896.0,692.0,2020,1
JAKARTA PUSAT,MENTENG,GONDANGDIA,1.46,3373.34,1056896.0,692.0,2020,0
JAKARTA PUSAT,MENTENG,KEBON SIRIH,0.83,18732.61,1056896.0,692.0,2020,1
JAKARTA PUSAT,TANAH ABANG,GELORA,2.59,1450.62,1056896.0,692.0,2020,0
JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,1.58,16121.65,1056896.0,692.0,2020,1
JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,1.53,14801.54,1056896.0,692.0,2020,1
JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,0.9,44657.05,1056896.0,692.0,2020,1
JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,1.26,30582.66,1056896.0,692.0,2020,1
JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,0.71,36577.46,1056896.0,692.0,2020,1
JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,0.73,19675.75,1056896.0,692.0,2020,1
JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,1.19,37197.31,1056896.0,692.0,2020,1
JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,0.3,86795.08,1056896.0,692.0,2020,1
JAKARTA PUSAT,JOHAR BARU,GALUR,0.26,84022.9,1056896.0,692.0,2020,1
JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,0.62,73374.54,1056896.0,692.0,2020,1
JAKARTA UTARA,PENJARINGAN,PENJARINGAN,3.95,29843.46,1778981.0,1101.0,2020,1
JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,10.53,1229.64,1778981.0,1101.0,2020,0
JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,10.06,3637.79,1778981.0,1101.0,2020,0
JAKARTA UTARA,PENJARINGAN,PEJAGALAN,3.23,27306.76,1778981.0,1101.0,2020,1
JAKARTA UTARA,PENJARINGAN,PLUIT,7.71,6396.61,1778981.0,1101.0,2020,0
JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,5.54,7533.03,1778981.0,1101.0,2020,0
JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,4.58,15431.39,1778981.0,1101.0,2020,1
JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,2.8,16386.9,1778981.0,1101.0,2020,1
JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,2.36,15060.91,1778981.0,1101.0,2020,1
JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,1.73,34965.26,1778981.0,1101.0,2020,1
JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,7.02,11556.4,1778981.0,1101.0,2020,1
JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,1.09,47757.26,1778981.0,1101.0,2020,1
JAKARTA UTARA,KOJA,KOJA,3.28,10624.77,1778981.0,1101.0,2020,1
JAKARTA UTARA,KOJA,TUGU UTARA,3.32,23997.59,1778981.0,1101.0,2020,1
JAKARTA UTARA,KOJA,LAGOA,1.58,43753.57,1778981.0,1101.0,2020,1
JAKARTA UTARA,KOJA,RAWA BADAK UTARA,1.33,30792.47,1778981.0,1101.0,2020,1
JAKARTA UTARA,KOJA,TUGU SELATAN,2.68,17426.12,1778981.0,1101.0,2020,1
JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,1.02,46930.72,1778981.0,1101.0,2020,1
JAKARTA UTARA,CILINCING,CILINCING,6.31,8047.68,1778981.0,1101.0,2020,0
